x,y
0,38.495594876661094
1,42.800186205306375
2,34.4356321323608
3,49.95940646946696
4,31.290783861365615
5,32.90280870155579
6,63.725978549165305
7,39.21238854062668
8,65.3728934585288
9,65.4729487654527
10,67.99762504268593
11,49.71383446392057
12,48.85644828585791
13,82.23025662060367
14,68.29974901698859
15,88.29495114034737
16,71.80290000197597
17,72.9096230269222
18,43.190197933254815
19,67.62062827200549
20,78.41545463266192
21,76.61218380134198
22,93.33064569300711
23,91.32472432458925
24,88.87898078535662
25,93.7475182812399
26,59.39381192602974
27,94.83831991380339
28,64.70151642213688
29,91.3353371565904
30,91.74889514103978
31,103.82977947751579
32,95.03225235884787
33,99.9659697865101
34,103.06501854985991
35,62.24173906760892
36,96.70479742772898
37,88.90261614356396
38,83.68697278361078
39,90.37783969464118
40,114.4697480440323
41,94.69720034311187
42,82.69721478729276
43,79.67241579069729
44,89.1822141022076
45,71.2225902944884
46,87.86901506594059
47,113.04417114089537
48,98.17941199564817
49,99.25808279343121
50,94.78338540214015
51,92.32106403848842
52,85.56093319083665
53,127.85376273273494
54,106.30006515527134
55,110.71821450666164
56,116.10579426717968
57,118.43261107700215
58,125.68587720775044
59,94.6486651645728
60,93.73670161944759
61,109.12655822518077
62,103.69988556096096
63,108.32150872465776
64,131.78044561892233
65,107.7358475176046
66,139.59072455877788
67,102.17050874221069
68,132.37095347944384
69,108.76315912158248
70,101.94667730622798
71,121.93993326110379
72,109.87109863443389
73,139.9105675503154
74,136.33875371026232
75,102.68290476267246
76,137.40561939881724
77,135.75861714339396
78,103.03306087669853
79,136.02482481569123
80,119.34825792590124
81,141.65326222528793
82,151.9785539481519
83,135.6558056501444
84,146.94270124390198
85,151.63680584329234
86,139.1137127231737
87,127.44205478904614
88,159.13965386453063
89,144.02520067619153
90,138.0957387268733
91,124.61030130315456
92,138.62405082932327
93,141.01072006245386
94,133.29992083207713
95,155.35196066420738
96,137.72119390314847
97,137.324389539648
98,155.42418707716374
99,131.35239289912087
